address;addres limpiado 1;category;id;Columna4;lat;lng;location;name;originalId;polarity;subCategory;details;reviews;Columna1;Columna2;Columna3
494946;Farmacia Huélamo Mora;Farmacia Huélamo Mora;Ronda de la Guineueta Vella, 60, Barcelona, Spain;494946;poi;Barcelona;41.444.696;2.168.307;http://tour-pedia.org/api/getPlaceDetails?id=494946;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494946;;;;;;
494947;Farmacia Braso Serra;Farmacia Braso Serra;Carrer de l'Artesania, 102, Barcelona, Spain;494947;poi;Barcelona;41.443.099;2.172.067;http://tour-pedia.org/api/getPlaceDetails?id=494947;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494947;;;;;;
494948;Farmacia Ortopedia Prats Gorrochategui;Farmacia Ortopedia Prats Gorrochategui;Carrer d'Alcàntara, 1, Barcelona, Spain;494948;poi;Barcelona;41.445.037;2.171.874;http://tour-pedia.org/api/getPlaceDetails?id=494948;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494948;;;;;;
494949;Farmacia Casanovas Baiget Casanovas;Farmacia Casanovas Baiget Casanovas;Passeig d'Urrutia, 113, Barcelona, Spain;494949;poi;Barcelona;41.443.337;2.172.042;http://tour-pedia.org/api/getPlaceDetails?id=494949;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494949;;;;;;
494950;Colegio Público Marinada;Colegio Público Marinada;Rambla del Caçador, 17, Barcelona, Spain;494950;poi;Barcelona;41.440.903;2.169.698;http://tour-pedia.org/api/getPlaceDetails?id=494950;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494950;;;;;;
494951;Clínica Dental Canyelles;Clínica Dental Canyelles;Carrer d'Antonio Machado, 20, Barcelona, Spain;494951;poi;Barcelona;41.443.572;2.168.722;http://tour-pedia.org/api/getPlaceDetails?id=494951;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494951;;;;;;
494952;Iglesia Methanoia;Iglesia Methanoia;Carrer d'Isabel de Villena, Barcelona, Spain;494952;poi;Barcelona;4.144.312;2.167.975;http://tour-pedia.org/api/getPlaceDetails?id=494952;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494952;;;;;;
494953;Eva Latorre y Gustavo Duch P;Eva Latorre y Gustavo Duch P;Carrer de Joan Riera, 31, Barcelona, Spain;494953;poi;Barcelona;41.442.275;2.174.692;http://tour-pedia.org/api/getPlaceDetails?id=494953;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494953;;;;;;
494954;Parroquia de San Mateo de la Guineueta;Parroquia de San Mateo de la Guineueta;Via Favència, 80, Barcelona, Spain;494954;poi;Barcelona;41.440.764;2.165.723;http://tour-pedia.org/api/getPlaceDetails?id=494954;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494954;;;;;;
494955;Garaje Paladium;Garaje Paladium;Carrer de la Guineueta, 23, Barcelona, Spain;494955;poi;Barcelona;41.440.682;2.166.681;http://tour-pedia.org/api/getPlaceDetails?id=494955;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494955;;;;;;
494956;Associació Comunitaria Verdum;Associació Comunitaria Verdum;Carrer de Luz Casanova, 8, Barcelona, Spain;494956;poi;Barcelona;41.444.223;2.175.537;http://tour-pedia.org/api/getPlaceDetails?id=494956;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494956;;;;;;
494957;ESPAI BELFORT;ESPAI BELFORT;Carrer Alonso Cano, 4, Barcelona, Spain;494957;poi;Barcelona;41.441.509;2.173.026;http://tour-pedia.org/api/getPlaceDetails?id=494957;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494957;;;;;;
